site.code,grid.cell.number
SCHE,16
SCHE,47
SCHE,78
SCHE,141
SCHE,148
SCHE,149
SCHE,153
SCHE,155
SCHE,180
SCHE,181
SCHE,182
SCHE,183
SCHE,184
SCHE,185
SCHE,186
SCHE,208
SCHE,210
SCHE,211
SCHE,212
SCHE,213
SCHE,214
SCHE,215
SCHE,217
SCHE,242
SCHE,243
SCHE,244
SCHE,246
SCHE,253
SCHE,262
SCHE,263
SCHE,264
SCHE,286
SCHE,287
SCHE,288
SCHE,289
SCHE,290
SCHE,291
SCHE,292
SCHE,293
SCHE,294
SCHE,295
SCHE,297
SCHE,318
SCHE,319
SCHE,322
SCHE,323
SCHE,324
SCHE,325
SCHE,326
SCHE,327
SCHE,328
SCHE,329
SCHE,330
SCHE,331
SCHE,334
SCHE,353
SCHE,354
SCHE,355
SCHE,356
SCHE,357
SCHE,358
SCHE,359
SCHE,360
SCHE,361
SCHE,362
SCHE,383
SCHE,384
SCHE,385
SCHE,386
SCHE,387
SCHE,388
SCHE,389
SCHE,390
SCHE,391
SCHE,392
SCHE,414
SCHE,415
SCHE,416
SCHE,417
SCHE,418
SCHE,419
SCHE,420
SCHE,421
SCHE,428
SCHE,429
SCHE,445
SCHE,446
SCHE,447
SCHE,448
SCHE,460